51.1055 57.6291	88.1826	68.7861
51.1479 57.6002	88.4497	68.8668
50.5483	57.0463	87.489	68.2103
50.8138	56.8734	87.2653	67.8841
51.0325	56.9957	87.5739	68.0586
50.8713	56.6019	87.5134	68.2562
50.9073	56.3569	87.4931	68.8174
50.9306	56.3878	87.6131	69.0243
51.097	56.5925	87.979	69.173
51.0406	56.7597	88.3488	69.2582
51.1726	56.5892	88.3682	69.3953
51.0835	56.6261	88.4424	69.265
50.8418	56.4115	88.1003	69.0702
51.3255	56.3888	88.273	69.4484
51.2521	55.9288	88.344	69.458
51.2308	55.8288	88.3381	69.6073
51.6595	56.2908	88.9692	69.8513
51.7551	56.2914	88.7555	69.5424
51.6896	56.184	89.3654	69.9322
51.3591	56.2613	89.3817	69.7921
51.0553	56.0408	89.2526	70.0958
51.5454	56.6278	89.9811	70.4959
52.3869	57.2196	91.1663	70.9294
52.2483	56.9533	90.9739	70.531
52.5667	57.6736	91.1519	70.7713
53.2489	58.1718	92.3245	71.3943
53.4227	58.0171	91.6643	71.245
53.6822	57.7701	91.0812	71.167
53.6369	57.5899	90.8086	71.2329
53.1603	56.5918	89.1462	70.6718
53.2207	56.3554	88.7738	70.6471
52.8628	56.3438	88.7556	69.9001
52.7806	56.5201	89.0333	69.8928
52.6179	56.6537	89.2437	69.8087
52.8819	56.7608	89.2325	69.6341
52.4438	55.9208	88.6506	68.9224
51.998	55.6717	88.2725	68.6599
52.61	56.3742	89.025	68.9062
52.8427	56.4334	88.9682	68.8826
53.5604	56.6616	89.2899	69.4671
54.1309	57.1	90.046	70.1702
53.2831	56.5041	89.1119	69.7317
53.6898	56.8011	89.8339	70.5299
53.1595	56.6122	89.5239	69.7972
53.2435	56.9359	89.9589	70.1564
53.387	56.9372	90.1433	70.5338
53.728	57.0188	90.1939	70.5151
54.3809	57.4942	90.8985	70.8099
54.3739	57.5521	90.8952	70.6049
54.2146	57.7033	91.1585	71.2347
54.0853	57.4954	90.8128	70.5699
53.7664	56.8391	89.9111	70.31
54.38	57.1072	90.3009	70.4303
54.2404	57.0039	90.6608	70.5708
54.1786	57.1747	91.1383	71.2625
54.5151	57.5598	91.5275	71.3339
54.1888	57.7626	91.8003	71.0942
53.9294	57.2649	91.2719	70.5618
53.8874	57.285	91.2196	70.6038
54.2091	57.5375	91.5517	70.9207
54.4487	57.7646	91.6971	70.958
53.77	57.5796	91.3208	70.5926
53.8409	57.8332	91.723	70.7069
54.6655	58.5714	92.8084	71.8847
58.2597	62.3699	99.0612	76.8522
59.922	64.0626	97.4056	79.2839
58.0571	62.0659	98.8027	76.7569
57.0841	61.4311	97.7844	75.7507
58.0883	62.2794	99.1426	76.8403
57.1532	61.1454	97.4087	75.8448
57.3528	61.5539	97.93	76.0868
56.6941	60.8583	96.9282	75.4034
